date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:10:19	13/13	---M--	200	added ('OK')	text/plain	date:Wed,%2024%20Sep%202025%2023:10:19%20GMT	https://sml.tum-cdps.de/robots.txt		(from )
01:10:19	62/62	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Sep%202025%2023:10:19%20GMT	https://sml.tum-cdps.de/	R:/sml/sml-archive/sml-archive/sml.tum-cdps.de/index.html	(from )
01:10:20	52193/52193	---MCZ	200	added ('OK')	text/html	etag:%22pe8a5sodef1459%22	https://sml.tum-cdps.de/en	R:/sml/sml-archive/sml-archive/sml.tum-cdps.de/en.html	(from https://sml.tum-cdps.de/)
01:10:21	10412/10412	---M--	200	added ('OK')	image/png	date:Wed,%2024%20Sep%202025%2023:10:21%20GMT	https://sml.tum-cdps.de/assets/images/site/favicon.png	R:/sml/sml-archive/sml-archive/sml.tum-cdps.de/assets/images/site/favicon.png	(from https://sml.tum-cdps.de/en)
01:10:21	48000/48000	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2024%20Sep%202025%2023:10:21%20GMT	https://sml.tum-cdps.de/assets/images/site/favicon.svg	R:/sml/sml-archive/sml-archive/sml.tum-cdps.de/assets/images/site/favicon.svg	(from https://sml.tum-cdps.de/en)
01:10:22	474453/474453	---MCZ	200	added ('OK')	text/css	etag:W/%2273d55-1997dfb4fb0%22	https://sml.tum-cdps.de/_next/static/css/d44e3c3dccbf666e.css	R:/sml/sml-archive/sml-archive/sml.tum-cdps.de/_next/static/css/d44e3c3dccbf666e.css	(from https://sml.tum-cdps.de/en)
01:10:23	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%2216544-1997dfb4fb0%22	https://sml.tum-cdps.de/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	R:/sml/sml-archive/sml-archive/sml.tum-cdps.de/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://sml.tum-cdps.de/en)
01:10:23	3392/3392	---M-Z	200	added ('OK')	application/javascript	etag:W/%22d40-1997dfb4fb0%22	https://sml.tum-cdps.de/_next/static/chunks/webpack-9e29b6141f1c32d9.js	R:/sml/sml-archive/sml-archive/sml.tum-cdps.de/_next/static/chunks/webpack-9e29b6141f1c32d9.js	(from https://sml.tum-cdps.de/en)
01:10:25	129979/129979	---MCZ	200	added ('OK')	application/javascript	etag:W/%221fbbb-1997dfb4fb0%22	https://sml.tum-cdps.de/_next/static/chunks/framework-5f4595e5518b5600.js	R:/sml/sml-archive/sml-archive/sml.tum-cdps.de/_next/static/chunks/framework-5f4595e5518b5600.js	(from https://sml.tum-cdps.de/en)
01:10:25	115736/115736	---MCZ	200	added ('OK')	application/javascript	etag:W/%221c418-1997dfb4fb0%22	https://sml.tum-cdps.de/_next/static/chunks/main-504a141f75d9a30f.js	R:/sml/sml-archive/sml-archive/sml.tum-cdps.de/_next/static/chunks/main-504a141f75d9a30f.js	(from https://sml.tum-cdps.de/en)
